Part;Description;Manufacturer;Manufacturer no.;Cut tape (Digi-Key);Reel (Digi-Key);Tube (Digi-Key)
C1;100uF capacitor;Yageo;CC1210MKX5R5BB107;311-2046-1-ND;311-2046-2-ND;
;;Kemet;C1210C107M9PACTU;399-4697-1-ND;399-4697-2-ND ;
C2;0.1uF capacitor;Yageo;CC0805KRX7R8BB104;311-1141-1-ND;311-1140-2-ND;
;;Kemet;C0805C104K3RACTU;399-1168-1-ND;399-1168-2-ND;
H1;mounting hole;;;;;
H2;mounting hole;;;;;
H3;mounting hole;;;;;
H4;mounting hole;;;;;
L1.1;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L1.2;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L1.3;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L1.4;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L2.1;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L2.2;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L2.3;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L2.4;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L3.1;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L3.2;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L3.3;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L3.4;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L4.1;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L4.2;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L4.3;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
L4.4;green LED;Kingbright;APT2012SGC;754-1131-1-ND;754-1131-2-ND;
NAND1;quad 2-input NAND;TI;SN74AC00DR;296-1052-1-ND;296-1052-2-ND;
NAND2;quad 2-input NAND;TI;SN74AC00DR;296-1052-1-ND;296-1052-2-ND;
NAND3;quad 2-input NAND;TI;SN74AC00DR;296-1052-1-ND;296-1052-2-ND;
NAND4;quad 2-input NAND;TI;SN74AC00DR;296-1052-1-ND;296-1052-2-ND;
H1.1;8x1 male header;Harwin;M20-8770842/6;;;M20-8770842/6P-ND
H2.1;8x1 male header;Harwin;M20-8770842/6;;;M20-8770842/6P-ND
H3.1;8x1 male header;Harwin;M20-8770842/6;;;M20-8770842/6P-ND
H4.1;8x1 male header;Harwin;M20-8770842/6;;;M20-8770842/6P-ND
H1.2;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H1.3;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H2.2;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H2.3;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H3.2;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H3.3;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H4.2;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H4.3;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
H5;8x2 male header;Harwin;M20-8760842/6;;;M20-8760842/6P-ND
PWR;unpopulated through-hole header;;;;;
R1.1;8x10k ohm resistor array;CTS;742C163103JP;742C163103JPCT-ND;742C163103JPTR-ND;
R2.1;8x10k ohm resistor array;CTS;742C163103JP;742C163103JPCT-ND;742C163103JPTR-ND;
R3.1;8x10k ohm resistor array;CTS;742C163103JP;742C163103JPCT-ND;742C163103JPTR-ND;
R4.1;8x10k ohm resistor array;CTS;742C163103JP;742C163103JPCT-ND;742C163103JPTR-ND;
R5;4x10k ohm resistor array;CTS;742C083103JP;742C083103JPCT-ND;742C083103JPTR-ND;
R1.2;4x560 ohm resistor array;CTS;742C083561JP;742C083561JPCT-ND;742C083561JPTR-ND;
R2.2;4x560 ohm resistor array;CTS;742C083561JP;742C083561JPCT-ND;742C083561JPTR-ND;
R3.2;4x560 ohm resistor array;CTS;742C083561JP;742C083561JPCT-ND;742C083561JPTR-ND;
R4.2;4x560 ohm resistor array;CTS;742C083561JP;742C083561JPCT-ND;742C083561JPTR-ND;
R1.3;4x1k ohm resistor array;CTS;742C083102JP;742C083102JPCT-ND;742C083102JPTR-ND;
R2.3;4x1k ohm resistor array;CTS;742C083102JP;742C083102JPCT-ND;742C083102JPTR-ND;
R3.3;4x1k ohm resistor array;CTS;742C083102JP;742C083102JPCT-ND;742C083102JPTR-ND;
R4.3;4x1k ohm resistor array;CTS;742C083102JP;742C083102JPCT-ND;742C083102JPTR-ND;
S1;SPST off-mom switch;Omron;B3FS-1000P;SW423CT-ND;SW423TR-ND;
S2;SPST off-mom switch;Omron;B3FS-1000P;SW423CT-ND;SW423TR-ND;
S3;SPST off-mom switch;Omron;B3FS-1000P;SW423CT-ND;SW423TR-ND;
S4;SPST off-mom switch;Omron;B3FS-1000P;SW423CT-ND;SW423TR-ND;
USB;micro-B USB receptacle;FCI;10103594-0001LF;609-4050-1-ND;609-4050-2-ND;
